Product,Category,Brand,Price,Seller_name,Average_Product_rating,Buyer_comments,Buyer_comment_title,Buyer_product_review
"Skyworth 43S3A31T 43"" Smart LED TV - (Black)","TVs, Audio & Cameras",Skyworth,Rs62900,E City,0,,,
"Skyworth 49U5 49"" 4K Ultra HD Android Smart LED TV - (Black)","TVs, Audio & Cameras",Skyworth,Rs96900,E City,0,,,
"Skyworth 43U5 43"" 4K Ultra HD Android Smart LED TV - (Black)","TVs, Audio & Cameras",Skyworth,Rs85500,E City,0,,,
Goop Goop AAA 1.2V 1350 mah Rechargeable Battery - 2pcs,"TVs, Audio & Cameras",Goop,Rs499,KpItSolution,0,,,
2Inches Screen Sports Camera With Accessories (Black),"TVs, Audio & Cameras",,Rs6550,Bikers Mart Nepal,0,,,
Jim Dunlop 2 Pcs Of Nylon Guitar Picks - (Black/Red),"TVs, Audio & Cameras",,Rs200,Music Point,0,,,
"Mantra Brown 24"" Water Ukulele With Free Bag","TVs, Audio & Cameras",Mantra,Rs4000,GuitarShop,0,,,
Tender 150XL/012inch Acoustic Guitar Strings,"TVs, Audio & Cameras",Tender,Rs300,Music Point,0,,,
Digital Multi Meter,"TVs, Audio & Cameras",,Rs680,SLTPvtLtd,3,,,
Brown Authentic Crafted Wooden Showpiece,Home & Living,,Rs1800,Crafts Souvenir,0,,,
Golden Thai Girl With Flute Decoration Showpiece,Home & Living,,Rs4995,Archies Nepal,0,,,
Archies Red/Green Playing Deer Set Showpiece,Home & Living,Archies,Rs5500,Archies Nepal,0,,,
Multicolored Decorative Lord Ganesh Statue,Home & Living,,Rs1500,Garima Gift and Flower,0,,,
Tough Wallet Ninja 18 in 1 Multi Purpose Tool Kit - Metallic,Home & Living,,Rs199,e dokaan,0,,,
MILTON Yellow Econa 4 Insulated Tiffin Box,Home & Living,MILTON,Rs1400,Mero Shopping,0,,,
Archies Orange Plain Glass Flower Vase Decor,Home & Living,Archies,Rs395,Archies Nepal,0,,,
